
Einstellungen            		         N       E          V         N_in    Pi     	 Sigma

a=5 c=3 m=16 x=20 y=10  			100      78.5398    16.8548   81      3.24   	 0.164218
a=5 c=3 m=16 x=20 y=10  			10000    7853.98    1685.48   8125    3.25   	 0.0164218
a=5 c=3 m=16 x=20 y=10  			100000   78539.8    16854.8   81250   3.25   	 0.00519304
a=5 c=3 m=16 x=20 y=10  			1000000  785398	    168548    812500  3.25   	 0.00164218

a=205 c=29573 m=139968 x=20 y=10    		100      78.5398    16.8548   76      3.04   	 0.164218
a=205 c=29573 m=139968 x=20 y=10    		10000    7853.98    1685.48   7929    3.1716 	 0.0164218
a=205 c=29573 m=139968 x=20 y=10    		100000   78539.8    16854.8   78728   3.14912 	 0.00519304
a=205 c=29573 m=139968 x=20 y=10 		1000000  785398     168548    785427  3.14171	 0.00164218
